Timestamp | Device_ID | Temperature (Celsius) | Status
2026-06-04 10:41:27 | WARD_B_TEMP_01 | 38.5 | CRITICAL
2026-06-04 10:41:27 | WARD_B_TEMP_02 | 40.0 | CRITICAL
2026-06-04 10:41:27 | WARD_B_TEMP_03 | 40.2 | CRITICAL
2026-06-04 10:41:27 | WARD_B_TEMP_04 | 36.3 | NORMAL
2026-06-04 10:41:27 | WARD_B_TEMP_05 | 34.8 | CRITICAL
2026-06-04 10:41:28 | WARD_B_TEMP_01 | 37.9 | WARNING
2026-06-04 10:41:28 | WARD_B_TEMP_02 | 35.3 | CRITICAL
2026-06-04 10:41:28 | WARD_B_TEMP_03 | 36.8 | NORMAL
2026-06-04 10:41:28 | WARD_B_TEMP_04 | 36.1 | NORMAL
2026-06-04 10:41:28 | WARD_B_TEMP_05 | 35.9 | NORMAL
2026-06-04 10:41:29 | WARD_B_TEMP_01 | 36.7 | NORMAL
2026-06-04 10:41:29 | WARD_B_TEMP_02 | 37.3 | NORMAL
2026-06-04 10:41:29 | WARD_B_TEMP_03 | 38.2 | CRITICAL
2026-06-04 10:41:29 | WARD_B_TEMP_04 | 39.4 | CRITICAL
2026-06-04 10:41:29 | WARD_B_TEMP_05 | 38.6 | CRITICAL
2026-06-04 10:41:30 | WARD_B_TEMP_01 | 34.7 | CRITICAL
2026-06-04 10:41:30 | WARD_B_TEMP_02 | 39.6 | CRITICAL
2026-06-04 10:41:30 | WARD_B_TEMP_03 | 34.7 | CRITICAL
2026-06-04 10:41:30 | WARD_B_TEMP_04 | 39.4 | CRITICAL
2026-06-04 10:41:30 | WARD_B_TEMP_05 | 37.8 | WARNING
2026-06-04 10:41:31 | WARD_B_TEMP_01 | 38.3 | CRITICAL
2026-06-04 10:41:31 | WARD_B_TEMP_02 | 38.3 | CRITICAL
2026-06-04 10:41:31 | WARD_B_TEMP_03 | 40.1 | CRITICAL
2026-06-04 10:41:31 | WARD_B_TEMP_04 | 38.4 | CRITICAL
2026-06-04 10:41:31 | WARD_B_TEMP_05 | 36.3 | NORMAL
2026-06-04 10:41:32 | WARD_B_TEMP_01 | 40.2 | CRITICAL
2026-06-04 10:41:32 | WARD_B_TEMP_02 | 38.3 | CRITICAL
2026-06-04 10:41:32 | WARD_B_TEMP_03 | 35.2 | CRITICAL
2026-06-04 10:41:32 | WARD_B_TEMP_04 | 35.3 | CRITICAL
2026-06-04 10:41:32 | WARD_B_TEMP_05 | 38.2 | CRITICAL
2026-06-04 10:41:33 | WARD_B_TEMP_01 | 37.7 | WARNING
2026-06-04 10:41:33 | WARD_B_TEMP_02 | 34.9 | CRITICAL
2026-06-04 10:41:33 | WARD_B_TEMP_03 | 36.3 | NORMAL
2026-06-04 10:41:33 | WARD_B_TEMP_04 | 34.8 | CRITICAL
2026-06-04 10:41:33 | WARD_B_TEMP_05 | 37.3 | NORMAL
2026-06-04 10:41:34 | WARD_B_TEMP_01 | 36.8 | NORMAL
2026-06-04 10:41:34 | WARD_B_TEMP_02 | 36.6 | NORMAL
2026-06-04 10:41:34 | WARD_B_TEMP_03 | 39.6 | CRITICAL
2026-06-04 10:41:34 | WARD_B_TEMP_04 | 36.3 | NORMAL
2026-06-04 10:41:34 | WARD_B_TEMP_05 | 39.6 | CRITICAL
2026-06-04 10:41:35 | WARD_B_TEMP_01 | 39.7 | CRITICAL
2026-06-04 10:41:35 | WARD_B_TEMP_02 | 36.9 | NORMAL
2026-06-04 10:41:35 | WARD_B_TEMP_03 | 34.6 | CRITICAL
2026-06-04 10:41:35 | WARD_B_TEMP_04 | 39.8 | CRITICAL
