===== HEART RATE CRITICAL ALERTS =====
2026-06-04 10:41:27 | WARD_A_HR_01 | 125
2026-06-04 10:41:27 | WARD_A_HR_04 | 143
2026-06-04 10:41:27 | WARD_A_HR_05 | 104
2026-06-04 10:41:28 | WARD_A_HR_02 | 58
2026-06-04 10:41:28 | WARD_A_HR_05 | 105
2026-06-04 10:41:29 | WARD_A_HR_03 | 146
2026-06-04 10:41:29 | WARD_A_HR_05 | 58
2026-06-04 10:41:30 | WARD_A_HR_02 | 127
2026-06-04 10:41:30 | WARD_A_HR_03 | 59
2026-06-04 10:41:30 | WARD_A_HR_04 | 143
2026-06-04 10:41:31 | WARD_A_HR_02 | 108
2026-06-04 10:41:31 | WARD_A_HR_03 | 112
2026-06-04 10:41:31 | WARD_A_HR_05 | 146
2026-06-04 10:41:32 | WARD_A_HR_05 | 121
2026-06-04 10:41:33 | WARD_A_HR_02 | 130
2026-06-04 10:41:33 | WARD_A_HR_04 | 148
2026-06-04 10:41:33 | WARD_A_HR_05 | 131
2026-06-04 10:41:34 | WARD_A_HR_01 | 51
2026-06-04 10:41:34 | WARD_A_HR_02 | 101
2026-06-04 10:41:34 | WARD_A_HR_03 | 56
2026-06-04 10:41:34 | WARD_A_HR_04 | 134
2026-06-04 10:41:35 | WARD_A_HR_01 | 119
2026-06-04 10:41:35 | WARD_A_HR_02 | 126
2026-06-04 10:41:35 | WARD_A_HR_03 | 146
2026-06-04 10:41:35 | WARD_A_HR_05 | 45
2026-06-04 10:41:36 | WARD_A_HR_02 | 137
2026-06-04 10:41:36 | WARD_A_HR_03 | 106
2026-06-04 10:41:37 | WARD_A_HR_01 | 121
2026-06-04 10:41:37 | WARD_A_HR_02 | 133
2026-06-04 10:41:37 | WARD_A_HR_04 | 50
2026-06-04 10:41:38 | WARD_A_HR_02 | 145
2026-06-04 10:41:38 | WARD_A_HR_03 | 145
2026-06-04 10:41:38 | WARD_A_HR_04 | 148
2026-06-04 10:41:38 | WARD_A_HR_05 | 126
2026-06-04 10:41:39 | WARD_A_HR_02 | 102
2026-06-04 10:41:39 | WARD_A_HR_03 | 53
2026-06-04 10:41:39 | WARD_A_HR_04 | 49
2026-06-04 10:41:40 | WARD_A_HR_02 | 146
2026-06-04 10:41:40 | WARD_A_HR_03 | 50
2026-06-04 10:41:40 | WARD_A_HR_04 | 138
2026-06-04 10:41:40 | WARD_A_HR_05 | 129
2026-06-04 10:41:41 | WARD_A_HR_01 | 115
2026-06-04 10:41:41 | WARD_A_HR_03 | 45
2026-06-04 10:41:41 | WARD_A_HR_04 | 106
2026-06-04 10:41:41 | WARD_A_HR_05 | 106
2026-06-04 10:41:42 | WARD_A_HR_03 | 108
2026-06-04 10:41:42 | WARD_A_HR_04 | 123
2026-06-04 10:41:42 | WARD_A_HR_05 | 143
2026-06-04 10:41:43 | WARD_A_HR_01 | 58
2026-06-04 10:41:43 | WARD_A_HR_03 | 111
2026-06-04 10:41:43 | WARD_A_HR_04 | 125
2026-06-04 10:41:44 | WARD_A_HR_01 | 107
2026-06-04 10:41:44 | WARD_A_HR_03 | 114
2026-06-04 10:41:44 | WARD_A_HR_04 | 123
2026-06-04 10:41:45 | WARD_A_HR_02 | 140
2026-06-04 10:41:45 | WARD_A_HR_03 | 53
2026-06-04 10:41:45 | WARD_A_HR_04 | 104
2026-06-04 10:41:45 | WARD_A_HR_05 | 113
2026-06-04 10:41:46 | WARD_A_HR_02 | 113
2026-06-04 10:41:46 | WARD_A_HR_03 | 130
2026-06-04 10:41:46 | WARD_A_HR_04 | 103
2026-06-04 10:41:46 | WARD_A_HR_05 | 54
2026-06-04 10:41:47 | WARD_A_HR_02 | 127
2026-06-04 10:41:47 | WARD_A_HR_04 | 107
